No.	--- date & time ---	H1	T1	H2	T2
1	2023-05-06 12:20:10	71.30	22.10	57.60	22.90
2	2023-05-06 12:20:13	71.30	22.10	57.70	22.90
3	2023-05-06 12:20:16	71.30	22.10	57.80	22.90
4	2023-05-06 12:20:19	71.30	22.10	57.80	22.90
5	2023-05-06 12:20:22	71.20	22.00	57.90	22.90
6	2023-05-06 12:20:25	71.30	22.10	57.90	22.80
7	2023-05-06 12:20:28	71.20	22.00	57.90	22.80
8	2023-05-06 12:20:31	71.20	22.00	58.00	22.80
9	2023-05-06 12:20:34	71.10	22.00	58.00	22.80
10	2023-05-06 12:20:37	71.10	22.00	58.10	22.80
11	2023-05-06 12:20:40	nan %	00 *C	58.10	22.80
12	2023-05-06 12:20:43	71.10	22.00	58.70	22.80
13	2023-05-06 12:20:46	71.00	22.00	60.80	22.70
14	2023-05-06 12:20:50	71.00	22.00	63.50	22.70
15	2023-05-06 12:20:53	70.90	22.00	66.40	22.70
16	2023-05-06 12:20:56	nan %	00 *C	69.40	22.80
17	2023-05-06 12:20:59	70.80	22.00	72.30	22.70
18	2023-05-06 12:21:02	70.70	22.00	74.40	22.80
19	2023-05-06 12:21:05	70.70	22.00	74.20	22.80
20	2023-05-06 12:21:08	70.60	22.00	72.60	22.90
21	2023-05-06 12:21:11	71.70	22.00	70.70	22.90
22	2023-05-06 12:21:14	75.80	22.00	69.00	23.00
23	2023-05-06 12:21:17	80.40	22.00	67.40	23.00
24	2023-05-06 12:21:20	84.50	22.00	66.00	23.10
25	2023-05-06 12:21:23	88.00	22.00	64.70	23.10
26	2023-05-06 12:21:26	90.40	22.10	63.70	23.10
27	2023-05-06 12:21:29	91.40	22.10	62.90	23.20
28	2023-05-06 12:21:33	92.30	22.10	62.10	23.20
29	2023-05-06 12:21:36	93.00	22.20	61.60	23.20
30	2023-05-06 12:21:39	93.60	22.30	61.10	23.30
31	2023-05-06 12:21:42	94.10	22.30	60.60	23.30
32	2023-05-06 12:21:45	94.50	22.40	60.20	23.40
33	2023-05-06 12:21:48	94.90	22.50	59.90	23.40
34	2023-05-06 12:21:51	95.20	22.60	59.50	23.40
35	2023-05-06 12:21:54	94.30	22.60	60.60	23.40
36	2023-05-06 12:21:57	92.90	22.70	63.20	23.40
37	2023-05-06 12:22:00	91.50	22.70	65.60	23.50
38	2023-05-06 12:22:03	90.20	22.80	66.10	23.50
39	2023-05-06 12:22:06	88.20	22.90	65.40	23.50
40	2023-05-06 12:22:09	86.10	22.90	64.40	23.50
41	2023-05-06 12:22:12	84.20	23.00	63.40	23.50
42	2023-05-06 12:22:15	82.50	23.00	62.50	23.60
43	2023-05-06 12:22:18	81.10	23.00	61.80	23.60
44	2023-05-06 12:22:21	80.00	23.10	61.10	23.60
45	2023-05-06 12:22:24	79.00	23.10	60.40	23.60
46	2023-05-06 12:22:27	78.00	23.10	60.00	23.70
47	2023-05-06 12:22:31	77.10	23.10	59.60	23.60
48	2023-05-06 12:22:34	76.30	23.20	61.70	23.70
49	2023-05-06 12:22:37	75.50	23.20	68.90	23.70
